number,name,0.45,0.475,0.5,0.525,0.55,0.575,0.6,0.625,0.65,0.675,0.7,0.725,0.75,0.775,0.8,0.825,0.85,0.875,0.9,0.925,0.95,0.975,1.0,1.025,1.05,1.1,1.15,1.2,1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2.0,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,pV,z0,z1,z2,z3,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32,cluster_33,cluster_34,cluster_35,cluster_36,cluster_37,cluster_38,cluster_39,cluster_40,cluster_41,cluster_42,cluster_43,cluster_44,cluster_45,cluster_46,cluster_47,cluster_48,cluster_49,cluster,class_A,class_B,class_C,class_D,class_E,class_K,class_L,class_M,class_O,class_P,class_Q,class_R,class_S,class_V,class_X,class_Z,class_,class_sf,e,e_center,e_snr,e_depth,k,k_center,k_snr,k_depth,h,h_center,h_snr,h_depth,DIFFUSE,ref_spectrum,ref_albedo
3,Juno,,,-0.1105249226093292,-0.094930350780487,-0.0756925567984581,-0.0543319880962371,-0.0322697721421718,-0.0119372410699725,0.0072877528145909,0.024954829365015,0.0427320785820484,0.0543522574007511,0.0591706968843936,0.0588499344885349,0.0561908818781375,0.044375043362379,0.0265090055763721,0.0028982132207602,-0.0263455845415592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6695862412452698,-0.3382917127012781,0.2013919649461266,-0.070757652772255,-0.171885063911158,0.740585,0.0,0.0,0.004948,3e-06,0.0,0.038746,0.0,0.0,0.0,0.003177,0.0,0.0,0.00085,0.0,0.0,2.2e-05,0.0,0.0,0.0,0.0,7.3e-05,0.0,7e-06,0.020905,0.0,0.0,0.0,2e-05,0.0,0.0,0.0,1e-06,0.0,0.0,0.001076,0.0,3e-06,0.098777,0.0,0.001076,0.0,0.000206,0.0,0.028161,0.0,1.3e-05,0.0,0.061351,0.0,0,0.0,0.0,0.000761,0.0,0.0,0.001032,0.0,0.020969,0.0,2e-06,0.061463,0.0,0.915752,2.1e-05,0.0,0.0,S,S,,,,,,,,,,,,,False,3.0,9
7,Iris,,,-0.2137353420257568,-0.1894327998161316,-0.1619448661804199,-0.1327699422836303,-0.1033415794372558,-0.0745477825403213,-0.0478426590561866,-0.0281136129051446,-0.0118097895756363,0.0026356640737503,0.0092446273192763,0.0104224598035216,0.0071518337354063,-0.0058795744553208,-0.0214880350977182,-0.038369208574295,-0.0532810017466545,-0.0607053041458129,-0.0611632689833641,-0.054252915084362,-0.0364663153886795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7819899320602417,-0.0475432577351427,0.124081463417705,-0.0798379431276386,-0.2017734648463728,0.168017,0.0,0.0,0.098345,0.007863,0.0,0.01799,0.0,0.0,0.0,0.000182,0.0,0.0,1.5e-05,0.535697,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.016214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.000459,0.029175,0.0,0.10058,0.0,0.023301,0.001934,7e-05,0.0,1.2e-05,0.0,4.2e-05,0.0,14,0.0,0.0,1.4e-05,0.0,0.0,0.000745,0.000962,0.016036,0.0,4e-06,4.3e-05,0.0,0.982196,0.0,0.0,0.0,S,S,,,,,,,,,,,,,False,1.0,5;4;10;6
10,Hygiea,,-0.0051797814667224,0.0257993042469024,0.0367448627948761,0.0343635566532611,0.0250855442136526,0.0173646118491888,0.0103617263957858,0.0048657143488526,0.0010285775642842,-0.0017979082185775,-0.0046117678284645,-0.0075537674129009,-0.0109177231788635,-0.0144360773265361,-0.0206677429378032,-0.026943314820528,-0.0343630500137805,-0.0431368611752986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3372421264648438,-0.4799756092619613,-0.5850253057559238,0.1152450666151918,0.1331092550346798,0.0,0.0,0.007056,0.032658,0.0,0.027814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00436,0.0,0.0,0.0,0.037964,0.0,0.875769,0.0,0.0,0.012746,0.0,0.0,1.4e-05,0.000125,0.0,0.0,0.000988,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000507,0.0,0.0,0.0,19,0.0,0.007056,0.907029,3.4e-05,0.0,0.0,0.0,7.2e-05,0.0,0.053149,2e-06,0.0,0.032659,0.0,0.0,0.0,C,C,,,,,,,,,0.0,0.6493,1.4942,0.0123,False,6.0,16
13,Egeria,-0.0238084569573402,0.0062573500908911,0.0227517485618591,0.0287262760102748,0.0242894627153873,0.0156782642006874,0.0050756433047354,-0.004368205089122,-0.0126540781930089,-0.0192683860659599,-0.0222285836935043,-0.0214436464011669,-0.0186580196022987,-0.0176870562136173,-0.0201101228594779,-0.021225981414318,-0.0223794318735599,-0.0221630632877349,-0.0198377557098865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2091119289398191,-0.4367439161188955,-0.5475659492208315,0.0826147760919914,0.1003518547986288,0.0,0.0,0.00698,0.027039,0.0,0.028062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000117,0.0,0.0,0.0,0.004365,0.0,0.918757,0.0,0.0,0.013821,0.0,0.0,0.0,0.000814,0.0,0.0,1e-06,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3e-05,0.0,0.0,0.0,19,0.0,0.00698,0.939875,0.0,0.0,0.0,0.0,0.000701,0.0,0.025404,0.0,0.0,0.02704,0.0,0.0,0.0,Ch,Ch,,,,,,,,,1.0,0.6794,3.6815,0.0247,False,6.0,4;6;17;5;10;28;29;16;7;22
14,Irene,,,-0.1962325125932693,-0.1609805077314376,-0.1357147097587585,-0.1150841414928436,-0.0962441116571426,-0.0769746974110603,-0.0557817295193672,-0.0357396826148033,-0.0193443726748228,-0.0037126899696886,0.0048087774775922,0.0073879598639905,0.0031098215840756,-0.0075687677599489,-0.02116703055799,-0.0361655801534652,-0.0471227392554283,-0.0495068430900573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5686362385749817,-0.0587683345067074,0.153101326768252,-0.1126331220417046,-0.2137061943778096,0.091875,0.0,0.0,0.171282,0.006907,0.0,0.01102,0.0,0.0,0.0,1.6e-05,0.0,0.0,1.4e-05,0.631043,0.0,1e-06,0.0,0.0,0.0,0.0,5.4e-05,0.0,0.0,0.005312,0.0,0.0,0.0,0.0,0.0,2e-06,0.0,0.0,0.0,0.0,0.000356,0.0,0.001217,0.042938,0.0,0.026772,0.0,0.010394,0.000539,0.000155,0.0,1e-06,0.0,0.000101,0.0,14,0.0,0.0,1.4e-05,0.0,4e-06,0.000973,0.005832,0.004691,0.0,0.0,0.000102,0.0,0.988382,1e-06,0.0,0.0,S,S,,,,,,,,,,,,,False,1.0,13
19,Fortuna,,,-0.0339283123612403,-0.0253786388784647,-0.0221188236027956,-0.0253238920122385,-0.0309583004564046,-0.0361994504928588,-0.0431310124695301,-0.0493208728730678,-0.0487845987081527,-0.0442455112934112,-0.0398192889988422,-0.0314692743122577,-0.0180077757686376,-0.0068224952556192,-0.0008892514160834,0.0006258278735913,0.0019598952494561,0.008040839806199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.221848726272583,-0.3326868494524953,-0.503680743838177,0.0410362637345946,0.0235399740857952,0.0,0.0,0.00417,0.016954,0.0,0.128647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7e-05,0.0,0.0,0.0,1.9e-05,0.0,0.829776,0.0,0.0,0.011263,1e-06,0.0,0.0,0.009134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,0.0,0.00417,0.671265,0.0,0.0,0.0,0.0,0.00032,0.0,0.307291,0.0,0.0,0.016954,0.0,0.0,0.0,Ch,Ch,,,,,,,,,1.0,0.7009,6.3167,0.0413,False,14.0,1;35
19,Fortuna,,0.0723563656210899,0.1006041690707206,0.1090479046106338,0.1041294932365417,0.0923763811588287,0.0811358243227005,0.0695796832442283,0.0596710965037345,0.0534882992506027,0.0492004714906215,0.0521331392228603,0.0584713369607925,0.0669416189193725,0.0768919512629509,0.0867944434285163,0.0930748656392097,0.094922661781311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.221848726272583,-0.8383459946195035,-0.4699998709786375,0.0172228449379621,0.0095801158774668,0.0,0.0,0.042268,2e-06,0.0,0.640296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003584,0.0,0.0,0.0,0.0,0.0,1.1e-05,0.0,0.0,0.000199,1.9e-05,1.8e-05,6.1e-05,0.312996,0.0,0.0,0.0,0.0,0.000546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,5,0.0,0.042268,0.956936,0.0,0.0,0.000563,0.0,2.5e-05,0.0,0.000204,1e-06,0.0,2e-06,0.0,0.0,0.0,Ch,Ch,,,,,,,,,1.0,0.6894,4.8716,0.0416,False,6.0,1;35
23,Thalia,,,,-0.1785075962543487,-0.1491401493549347,-0.1232255548238754,-0.099215492606163,-0.0760749280452728,-0.0539995282888412,-0.0319148004055023,-0.0120910033583641,0.0036661471240222,0.0122087895870208,0.0133488923311233,0.0079485923051834,-0.0047054295428097,-0.0217785611748695,-0.0420997813344001,-0.0645520761609077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5850266814231873,-0.0507083831487264,0.1262641343295827,-0.1035897845944582,-0.2077215614723952,0.083142,0.0,0.0,0.060028,0.00508,0.0,0.007491,0.0,0.0,0.0,1e-05,0.0,0.0,2.3e-05,0.756933,0.0,1e-06,0.0,0.0,0.0,0.0,0.000667,0.0,0.0,0.000523,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,2e-06,0.0,0.0,3.7e-05,0.0,0.000186,0.04701,0.0,0.025981,0.0,0.012574,5e-05,0.000158,2e-06,0.0,0.0,0.0001,0.0,14,0.0,0.0,2.2e-05,0.0,0.0,6e-05,0.002421,0.0005,0.0,0.0,0.000102,0.0,0.99689,5e-06,0.0,0.0,S,S,,,,,,,,,,,,,False,3.0,31;1
25,Phocaea,,-0.5019363164901733,-0.4222935438156128,-0.3675179183483124,-0.3269705474376678,-0.2987413108348846,-0.2717043757438659,-0.23823843896389,-0.2049195915460586,-0.1754363030195236,-0.1487144976854324,-0.1241305693984031,-0.1110973581671714,-0.1095664128661155,-0.1185939535498619,-0.1391858011484146,-0.1579313427209854,-0.1775407642126083,-0.1932399421930313,-0.2016829997301101,-0.2087631821632385,-0.1862379163503646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7235382199287415,0.7902202351085243,0.1658311985429631,-0.1378216503250177,0.0420991939069558,0.0,0.0,0.0,0.0,0.002538,0.0,0.0,4.8e-05,0.0,0.0,0.0,0.061155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.269908,3.1e-05,0.0,0.0,1.7e-05,0.0,0.0,0.0,0.0,0.0,0.005542,0.0,5e-06,0.406855,0.0,0.0,0.0,1.5e-05,0.0,0.002698,0.000142,0.0,0.00476,0.0,0.0,0.0,0.0,0.245877,0.0,0.000409,33,0.000409,0.0,0.0,0.0,0.0,1.7e-05,0.0,1.5e-05,0.0,0.0,0.0,0.0,0.999506,5.3e-05,0.0,0.0,S,S,,,,,,,,,,,,,False,1.0,5
25,Phocaea,,,,-0.2388437241315841,-0.1955691277980804,-0.1586825549602508,-0.1260348856449127,-0.0947490409016609,-0.063088908791542,-0.0317469388246536,-0.003273906186223,0.0181901883333921,0.0314941853284835,0.0332117974758148,0.0239046793431043,0.0067278277128934,-0.0137404669076204,-0.0312507450580596,-0.0401652604341506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.7077439427375793,-0.0031413647931322,0.1969026416980676,-0.1271660965813937,-0.247213916651953,0.026718,0.0,0.0,0.080859,0.002922,0.0,0.0011,0.0,0.0,0.0,4e-06,0.0,0.0,0.000396,0.867893,0.0,0.0,0.0,0.0,0.0,0.0,0.013148,0.0,1.5e-05,2e-06,0.0,0.0,0.0,0.000197,0.0,0.0,0.0,0.000312,0.0,0.0,0.000149,0.0,0.000696,0.001172,0.0,0.000704,0.0,0.002819,1e-06,0.000361,0.000112,0.0,0.0,0.00042,0.0,14,0.0,0.0,0.000379,0.0,0.0,1e-06,0.00357,0.000165,0.0,0.0,0.000437,1e-06,0.994825,0.000621,0.0,0.0,S,S,,,,,,,,,,,,,False,3.0,52;1
