number,name,date_obs,shortbib
3.0,Juno,1992-11-27,Xu+ 1995
3.0,Juno,1992-11-28,Xu+ 1995
4.0,Vesta,1991-10-31,Xu+ 1995
4.0,Vesta,1991-12-07,Xu+ 1995
4.0,Vesta,1992-03-14,Xu+ 1995
6.0,Hebe,1992-11-27,Xu+ 1995
6.0,Hebe,1992-12-02,Xu+ 1995
7.0,Iris,1991-10-27,Xu+ 1995
7.0,Iris,1992-01-14,Xu+ 1995
7.0,Iris,1992-12-01,Xu+ 1995
8.0,Flora,1991-12-14,Xu+ 1995
8.0,Flora,1992-01-17,Xu+ 1995
10.0,Hygiea,1991-11-01,Xu+ 1995
14.0,Irene,1992-01-15,Xu+ 1995
14.0,Irene,1992-03-14,Xu+ 1995
18.0,Melpomene,1992-11-28,Xu+ 1995
22.0,Kalliope,1991-10-27,Xu+ 1995
22.0,Kalliope,1993-01-20,Xu+ 1995
25.0,Phocaea,1993-01-04,Xu+ 1995
28.0,Bellona,1991-10-27,Xu+ 1995
28.0,Bellona,1992-01-16,Xu+ 1995
29.0,Amphitrite,1991-12-07,Xu+ 1995
29.0,Amphitrite,1992-01-17,Xu+ 1995
29.0,Amphitrite,1992-03-11,Xu+ 1995
32.0,Pomona,1991-10-25,Xu+ 1995
32.0,Pomona,1991-10-28,Xu+ 1995
32.0,Pomona,1991-11-01,Xu+ 1995
32.0,Pomona,1992-01-15,Xu+ 1995
32.0,Pomona,1992-11-30,Xu+ 1995
36.0,Atalante,1993-01-21,Xu+ 1995
38.0,Leda,1991-12-07,Xu+ 1995
39.0,Laetitia,1992-12-01,Xu+ 1995
42.0,Isis,1992-01-17,Xu+ 1995
43.0,Ariadne,1992-09-06,Xu+ 1995
43.0,Ariadne,1992-11-27,Xu+ 1995
53.0,Kalypso,1992-11-28,Xu+ 1995
54.0,Alexandra,1992-09-06,Xu+ 1995
55.0,Pandora,1991-10-30,Xu+ 1995
61.0,Danae,1992-01-14,Xu+ 1995
61.0,Danae,1992-01-17,Xu+ 1995
68.0,Leto,1992-11-26,Xu+ 1995
71.0,Niobe,1991-12-08,Xu+ 1995
71.0,Niobe,1992-01-14,Xu+ 1995
72.0,Feronia,1993-01-04,Xu+ 1995
73.0,Klytia,1992-01-17,Xu+ 1995
82.0,Alkmene,1992-11-29,Xu+ 1995
86.0,Semele,1991-10-26,Xu+ 1995
88.0,Thisbe,1992-01-13,Xu+ 1995
111.0,Ate,1993-01-21,Xu+ 1995
116.0,Sirona,1991-10-29,Xu+ 1995
116.0,Sirona,1992-01-18,Xu+ 1995
116.0,Sirona,1992-12-01,Xu+ 1995
116.0,Sirona,1993-01-01,Xu+ 1995
116.0,Sirona,1993-01-04,Xu+ 1995
116.0,Sirona,1993-01-21,Xu+ 1995
116.0,Sirona,1993-01-22,Xu+ 1995
124.0,Alkeste,1992-09-08,Xu+ 1995
126.0,Velleda,1992-01-14,Xu+ 1995
126.0,Velleda,1992-01-17,Xu+ 1995
128.0,Nemesis,1991-12-13,Xu+ 1995
131.0,Vala,1992-11-29,Xu+ 1995
131.0,Vala,1992-11-30,Xu+ 1995
134.0,Sophrosyne,1992-11-26,Xu+ 1995
137.0,Meliboea,1991-10-27,Xu+ 1995
137.0,Meliboea,1993-01-22,Xu+ 1995
138.0,Tolosa,1992-01-13,Xu+ 1995
138.0,Tolosa,1992-01-17,Xu+ 1995
149.0,Medusa,1991-12-14,Xu+ 1995
149.0,Medusa,1992-01-14,Xu+ 1995
157.0,Dejanira,1992-01-14,Xu+ 1995
158.0,Koronis,1991-10-27,Xu+ 1995
158.0,Koronis,1992-01-18,Xu+ 1995
167.0,Urda,1992-09-07,Xu+ 1995
169.0,Zelia,1993-01-04,Xu+ 1995
185.0,Eunike,1992-03-12,Xu+ 1995
186.0,Celuta,1993-01-21,Xu+ 1995
196.0,Philomela,1992-11-29,Xu+ 1995
204.0,Kallisto,1992-09-09,Xu+ 1995
211.0,Isolda,1991-12-16,Xu+ 1995
218.0,Bianca,1992-03-13,Xu+ 1995
221.0,Eos,1992-03-11,Xu+ 1995
230.0,Athamantis,1992-09-06,Xu+ 1995
231.0,Vindobona,1992-09-10,Xu+ 1995
234.0,Barbara,1992-01-15,Xu+ 1995
234.0,Barbara,1992-01-17,Xu+ 1995
235.0,Carolina,1991-12-13,Xu+ 1995
235.0,Carolina,1992-01-15,Xu+ 1995
237.0,Coelestina,1991-12-15,Xu+ 1995
237.0,Coelestina,1992-01-15,Xu+ 1995
239.0,Adrastea,1992-09-11,Xu+ 1995
239.0,Adrastea,1993-01-04,Xu+ 1995
243.0,Ida,1991-12-08,Xu+ 1995
245.0,Vera,1992-11-30,Xu+ 1995
248.0,Lameia,1991-12-16,Xu+ 1995
248.0,Lameia,1992-11-28,Xu+ 1995
248.0,Lameia,1993-01-04,Xu+ 1995
256.0,Walpurga,1992-12-02,Xu+ 1995
287.0,Nephthys,1992-01-17,Xu+ 1995
287.0,Nephthys,1992-03-13,Xu+ 1995
289.0,Nenetta,1991-12-07,Xu+ 1995
289.0,Nenetta,1992-03-12,Xu+ 1995
290.0,Bruna,1992-12-02,Xu+ 1995
291.0,Alice,1992-01-14,Xu+ 1995
292.0,Ludovica,1992-09-08,Xu+ 1995
297.0,Caecilia,1992-09-09,Xu+ 1995
314.0,Rosalia,1992-09-10,Xu+ 1995
319.0,Leona,1992-12-02,Xu+ 1995
339.0,Dorothea,1993-01-21,Xu+ 1995
345.0,Tercidina,1991-10-26,Xu+ 1995
346.0,Hermentaria,1991-12-15,Xu+ 1995
346.0,Hermentaria,1992-01-13,Xu+ 1995
346.0,Hermentaria,1992-03-12,Xu+ 1995
349.0,Dembowska,1992-11-27,Xu+ 1995
350.0,Ornamenta,1991-10-26,Xu+ 1995
350.0,Ornamenta,1991-10-28,Xu+ 1995
354.0,Eleonora,1992-03-11,Xu+ 1995
371.0,Bohemia,1992-09-05,Xu+ 1995
374.0,Burgundia,1991-12-08,Xu+ 1995
374.0,Burgundia,1992-01-16,Xu+ 1995
374.0,Burgundia,1992-01-20,Xu+ 1995
384.0,Burdigala,1993-01-01,Xu+ 1995
402.0,Chloe,1993-01-01,Xu+ 1995
416.0,Vaticana,1991-12-14,Xu+ 1995
416.0,Vaticana,1992-01-18,Xu+ 1995
430.0,Hybris,1992-09-09,Xu+ 1995
441.0,Bathilde,1992-11-28,Xu+ 1995
441.0,Bathilde,1992-11-29,Xu+ 1995
441.0,Bathilde,1992-11-30,Xu+ 1995
446.0,Aeternitas,1992-09-08,Xu+ 1995
446.0,Aeternitas,1992-11-28,Xu+ 1995
446.0,Aeternitas,1992-11-30,Xu+ 1995
456.0,Abnoba,1992-03-15,Xu+ 1995
467.0,Laura,1992-01-13,Xu+ 1995
470.0,Kilia,1992-12-01,Xu+ 1995
471.0,Papagena,1992-01-17,Xu+ 1995
471.0,Papagena,1992-03-15,Xu+ 1995
474.0,Prudentia,1991-12-07,Xu+ 1995
477.0,Italia,1993-01-21,Xu+ 1995
480.0,Hansa,1992-09-08,Xu+ 1995
481.0,Emita,1993-01-20,Xu+ 1995
495.0,Eulalia,1992-09-10,Xu+ 1995
509.0,Iolanda,1991-10-31,Xu+ 1995
509.0,Iolanda,1992-01-17,Xu+ 1995
511.0,Davida,1992-03-11,Xu+ 1995
512.0,Taurinensis,1991-12-07,Xu+ 1995
512.0,Taurinensis,1992-01-13,Xu+ 1995
518.0,Halawe,1992-09-09,Xu+ 1995
519.0,Sylvania,1993-01-22,Xu+ 1995
529.0,Preziosa,1992-01-13,Xu+ 1995
541.0,Deborah,1992-03-15,Xu+ 1995
550.0,Senta,1991-10-26,Xu+ 1995
550.0,Senta,1992-01-18,Xu+ 1995
563.0,Suleika,1992-09-07,Xu+ 1995
563.0,Suleika,1992-11-29,Xu+ 1995
582.0,Olympia,1992-09-07,Xu+ 1995
599.0,Luisa,1992-01-14,Xu+ 1995
599.0,Luisa,1992-01-17,Xu+ 1995
631.0,Philippina,1992-09-11,Xu+ 1995
639.0,Latona,1992-11-29,Xu+ 1995
639.0,Latona,1993-01-01,Xu+ 1995
653.0,Berenike,1991-12-15,Xu+ 1995
675.0,Ludmilla,1991-10-25,Xu+ 1995
675.0,Ludmilla,1992-01-13,Xu+ 1995
675.0,Ludmilla,1992-12-01,Xu+ 1995
683.0,Lanzia,1992-09-08,Xu+ 1995
702.0,Alauda,1991-10-30,Xu+ 1995
720.0,Bohlinia,1992-01-13,Xu+ 1995
720.0,Bohlinia,1992-01-17,Xu+ 1995
722.0,Frieda,1991-10-26,Xu+ 1995
724.0,Hapag,1992-11-29,Xu+ 1995
732.0,Tjilaki,1992-03-14,Xu+ 1995
737.0,Arequipa,1991-10-28,Xu+ 1995
737.0,Arequipa,1992-01-17,Xu+ 1995
752.0,Sulamitis,1992-11-29,Xu+ 1995
774.0,Armor,1992-09-08,Xu+ 1995
787.0,Moskva,1992-09-08,Xu+ 1995
788.0,Hohensteina,1992-09-09,Xu+ 1995
803.0,Picka,1992-09-11,Xu+ 1995
808.0,Merxia,1992-09-10,Xu+ 1995
811.0,Nauheima,1992-03-14,Xu+ 1995
813.0,Baumeia,1993-01-01,Xu+ 1995
851.0,Zeissia,1992-01-14,Xu+ 1995
863.0,Benkoela,1992-03-11,Xu+ 1995
879.0,Ricarda,1992-03-14,Xu+ 1995
900.0,Rosalinde,1992-09-08,Xu+ 1995
900.0,Rosalinde,1992-09-09,Xu+ 1995
900.0,Rosalinde,1992-11-27,Xu+ 1995
900.0,Rosalinde,1992-11-28,Xu+ 1995
915.0,Cosette,1991-10-26,Xu+ 1995
918.0,Itha,1992-09-08,Xu+ 1995
951.0,Gaspra,1992-11-26,Xu+ 1995
951.0,Gaspra,1992-11-30,Xu+ 1995
1063.0,Aquilegia,1993-01-04,Xu+ 1995
